8	0	aesop	Primrec.to₂
10	0	exact?	Primrec.to₂
13	1	aesop	List.foldlM_pure
15	1	exact?	List.foldlM_pure
18	2	aesop	CategoryTheory.MorphismProperty.llp_rlp_of_hasSmallObjectArgument'
20	2	exact?	CategoryTheory.MorphismProperty.llp_rlp_of_hasSmallObjectArgument'
23	3	aesop	Lean.Grind.Ring.intCast_mul_left_comm
25	3	exact?	Lean.Grind.Ring.intCast_mul_left_comm
28	4	aesop	WeierstrassCurve.Projective.equation_zero
30	4	exact?	WeierstrassCurve.Projective.equation_zero
33	5	aesop	Std.DTreeMap.Raw.getKey?_diff_of_mem_right
35	5	exact?	Std.DTreeMap.Raw.getKey?_diff_of_mem_right
38	6	aesop	CategoryTheory.Limits.hasStrongEpiImages_of_hasStrongEpiMonoFactorisations
40	6	exact?	CategoryTheory.Limits.hasStrongEpiImages_of_hasStrongEpiMonoFactorisations
43	7	aesop	Nat.minFac_eq_two_iff
45	7	exact?	Nat.minFac_eq_two_iff
48	8	aesop	Std.DHashMap.Internal.toListModel_replicate_nil
50	8	exact?	Std.DHashMap.Internal.toListModel_replicate_nil
53	9	aesop	List.prefix_concat
55	9	exact?	List.prefix_concat
58	10	aesop	IsSemisimpleRing.jacobson_eq_bot
60	10	exact?	IsSemisimpleRing.jacobson_eq_bot
63	11	aesop	Std.Sat.AIG.instLawfulOperatorBinaryInputMkOrCached
65	11	exact?	Std.Sat.AIG.instLawfulOperatorBinaryInputMkOrCached
68	12	aesop	tendsto_inv_nhdsLT
70	12	exact?	tendsto_inv_nhdsLT
73	13	aesop	Subalgebra.add_mem
75	13	exact?	Subalgebra.add_mem
78	14	aesop	instIsEmptyFalse
80	14	exact?	instIsEmptyFalse
83	15	aesop	CategoryTheory.reflectsColimitsOfCreatesColimits
85	15	exact?	CategoryTheory.reflectsColimitsOfCreatesColimits
88	16	aesop	nhdsGE_basis_of_exists_gt
90	16	exact?	nhdsGE_basis_of_exists_gt
93	17	aesop	Filter.Tendsto.isCoboundedUnder_ge
95	17	exact?	Filter.Tendsto.isCoboundedUnder_ge
98	18	aesop	MulChar.injective_ringHomComp
100	18	exact?	MulChar.injective_ringHomComp
103	19	aesop	ENNReal.lt_add_of_sub_lt_left
105	19	exact?	ENNReal.lt_add_of_sub_lt_left
108	20	aesop	TopologicalSpace.Compacts.coe_bot
110	20	exact?	TopologicalSpace.Compacts.coe_bot
113	21	aesop	Nat.Linear.Poly.denote_le_cancel
115	21	exact?	Nat.Linear.Poly.denote_le_cancel
118	22	aesop	Algebra.IsStandardSmoothOfRelativeDimension.id
120	22	exact?	Algebra.IsStandardSmoothOfRelativeDimension.id
123	23	aesop	Commute.units_inv_left_iff
125	23	exact?	Commute.units_inv_left_iff
128	24	aesop	subset_closedConvexHull
130	24	exact?	subset_closedConvexHull
133	25	aesop	SupPrime.le_finset_sup
135	25	exact?	SupPrime.le_finset_sup
138	26	aesop	NNReal.coe_lt_one
140	26	exact?	NNReal.coe_lt_one
143	27	aesop	Num.add_of_nat
145	27	exact?	Num.add_of_nat
148	28	aesop	Nat.cast_ofNat
150	28	exact?	Nat.cast_ofNat
153	29	aesop	Rat.floor_def
155	29	exact?	Rat.floor_def
158	30	aesop	Array.back?_attach
160	30	exact?	Array.back?_attach
163	31	aesop	Nat.not_dvd_iff_lt_mul_succ
165	31	exact?	Nat.not_dvd_iff_lt_mul_succ
168	32	aesop	MeasureTheory.stoppedProcess_eq_of_le
170	32	exact?	MeasureTheory.stoppedProcess_eq_of_le
173	33	aesop	Polynomial.Separable.mul
175	33	exact?	Polynomial.Separable.mul
178	34	aesop	CategoryTheory.Discrete.opposite_functor_obj_as
180	34	exact?	CategoryTheory.Discrete.opposite_functor_obj_as
183	35	aesop	Set.mem_Ioi
185	35	exact?	Set.mem_Ioi
188	36	aesop	MeasureTheory.integral_indicator₂
190	36	exact?	MeasureTheory.integral_indicator₂
193	37	aesop	Multiset.coe_add
195	37	exact?	Multiset.coe_add
198	38	aesop	HomologicalComplex.instIsStableUnderRetractsQuasiIso
200	38	exact?	HomologicalComplex.instIsStableUnderRetractsQuasiIso
203	39	aesop	Nat.instStarOrderedRing
205	39	exact?	Nat.instStarOrderedRing
208	40	aesop	AddCommute.list_sum_right
210	40	exact?	AddCommute.list_sum_right
213	41	aesop	Ordering.lt_beq_eq
215	41	exact?	Ordering.lt_beq_eq
218	42	aesop	MeasurableEquiv.symm_symm
220	42	exact?	MeasurableEquiv.symm_symm
223	43	aesop	Set.subset_range_of_surjective
225	43	exact?	Set.subset_range_of_surjective
228	44	aesop	Disjoint.of_image
230	44	exact?	Disjoint.of_image
233	45	aesop	uniformity_basis_edist_nnreal
235	45	exact?	uniformity_basis_edist_nnreal
238	46	aesop	Nat.two_mul_sq_add_one_le_two_pow_two_mul
240	46	exact?	Nat.two_mul_sq_add_one_le_two_pow_two_mul
243	47	aesop	Cardinal.lift_mk_shrink''
245	47	exact?	Cardinal.lift_mk_shrink''
248	48	aesop	GenContFract.IntFractPair.succ_nth_stream_eq_some_iff
250	48	exact?	GenContFract.IntFractPair.succ_nth_stream_eq_some_iff
253	49	aesop	ProbabilityTheory.isProbabilityMeasureGamma
255	49	exact?	ProbabilityTheory.isProbabilityMeasureGamma
